DS1921:  6434C000018A0F21
Download at: 8/7/2006 10:03:05 AM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  08/04/2006  15:01 
Mission Start delay: 0 minute(s)
Mission Samples: 135
Device total samples: 55153
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Monday  08/07/2006  10:05:01 
Current PC Time: Monday  08/07/2006  10:05:03 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 3
10.0°C, 99
12.0°C, 1
14.0°C, 0
16.0°C, 11
18.0°C, 21
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 08/04/2006  15:01 , 18.5°C
 08/04/2006  15:31 , 10.0°C
 08/04/2006  16:01 , 10.0°C
 08/04/2006  16:31 , 10.0°C
 08/04/2006  17:01 , 10.0°C
 08/04/2006  17:31 , 10.0°C
 08/04/2006  18:01 , 10.0°C
 08/04/2006  18:31 , 10.0°C
 08/04/2006  19:01 , 10.0°C
 08/04/2006  19:31 , 10.0°C
 08/04/2006  20:01 , 10.0°C
 08/04/2006  20:31 , 10.0°C
 08/04/2006  21:01 , 10.0°C
 08/04/2006  21:31 , 10.0°C
 08/04/2006  22:01 , 10.0°C
 08/04/2006  22:31 , 10.0°C
 08/04/2006  23:01 , 10.0°C
 08/04/2006  23:31 , 10.0°C
 08/05/2006  00:01 , 10.0°C
 08/05/2006  00:31 , 10.0°C
 08/05/2006  01:01 , 10.0°C
 08/05/2006  01:31 , 10.0°C
 08/05/2006  02:01 , 10.0°C
 08/05/2006  02:31 , 10.0°C
 08/05/2006  03:01 , 10.0°C
 08/05/2006  03:31 , 10.0°C
 08/05/2006  04:01 , 10.0°C
 08/05/2006  04:31 , 10.0°C
 08/05/2006  05:01 , 10.0°C
